transaction_id,amount,timestamp,card_id,device_id,ip_address,merchant_id,geo_location,is_fraud
TXN000001,2849.25,2026-07-29 00:26:56,C704596,D30926,78.149.226.163,M0018,"22.5277,72.8324",0
TXN000002,120.92,2026-07-29 12:57:00,C417212,D69177,182.131.222.129,M0045,"18.6586,72.5322",0
TXN000003,1207.66,2026-07-29 14:58:23,C377312,D71348,134.76.122.123,M0030,"19.4342,73.1968",0
TXN000004,4602.65,2026-07-30 00:03:59,C839945,D16175,49.212.161.234,M0025,"18.6031,73.1612",0
TXN000005,566.02,2026-07-30 00:13:48,C854717,D41850,144.229.28.185,M0049,"22.8671,88.571",0
TXN000006,1144.48,2026-07-30 03:59:48,C294851,D10851,91.150.87.180,M0042,"17.0445,78.1472",0
TXN000007,116.3,2026-07-30 05:53:17,C204837,D19880,152.160.7.17,M0017,"28.5719,76.6606",0
TXN000008,322.39,2026-07-30 05:59:05,C308802,D99166,213.68.181.17,M0045,"12.7246,77.9602",0
TXN000009,655.11,2026-07-30 06:46:54,C992697,D76784,78.149.226.163,M0028,"18.2802,74.117",0
TXN000010,406.2,2026-07-30 07:36:19,C378361,D80697,161.191.144.226,M0031,"22.957,72.9409",0
TXN000011,297.44,2026-07-30 08:06:39,C550770,D57447,170.203.175.90,M0004,"12.7588,77.3909",0
TXN000012,317.08,2026-07-30 08:21:41,C708792,D19071,178.141.167.230,M0035,"13.2683,80.201",0
TXN000013,215.85,2026-07-30 08:23:32,C891937,D89840,3.173.150.154,M0010,"18.7579,73.8089",0
TXN000014,357.68,2026-07-30 08:48:48,C697347,D93886,32.6.166.162,M0041,"13.2199,77.2791",0
TXN000015,1496.98,2026-07-30 09:59:57,C824586,D70142,9.116.93.109,M0048,"18.6398,72.7649",0
TXN000016,2555.95,2026-07-30 10:11:31,C355836,D61173,169.227.59.103,M0039,"23.5197,72.6305",0
TXN000017,461.17,2026-07-30 10:16:11,C803204,D92397,144.229.28.185,M0005,"19.1671,72.5638",0
TXN000018,760.4,2026-07-30 10:37:30,C795612,D72296,121.176.23.197,M0044,"18.6099,73.0751",0
TXN000019,293.62,2026-07-30 10:49:08,C338651,D52504,134.76.122.123,M0041,"23.1052,72.8839",0
TXN000020,370.05,2026-07-30 12:25:06,C742412,D77839,194.182.240.132,M0039,"18.3299,74.3316",0
TXN000021,1076.84,2026-07-30 12:41:01,C277934,D95181,170.203.175.90,M0045,"23.1956,72.8958",0
TXN000022,346.23,2026-07-30 12:49:16,C429164,D84341,91.150.87.180,M0046,"12.9773,80.1925",0
TXN000023,378.91,2026-07-30 12:52:43,C804318,D42325,52.19.74.7,M0014,"22.8681,72.0784",0
TXN000024,393.04,2026-07-30 13:06:04,C837715,D26828,72.239.180.7,M0047,"22.3445,88.6233",0
TXN000025,259.03,2026-07-30 14:12:13,C367095,D79352,123.125.11.185,M0038,"13.4145,77.4178",0
TXN000026,1970.27,2026-07-30 14:35:47,C870763,D46463,34.141.163.57,M0018,"17.3008,78.4156",0
TXN000027,3301.9,2026-07-30 17:10:00,C969634,D28301,52.19.74.7,M0048,"18.3157,73.4933",0
TXN000028,592.5,2026-07-30 17:46:12,C448321,D60019,61.244.135.128,M0022,"23.3147,72.7478",0
TXN000029,201.01,2026-07-30 19:42:47,C528231,D39451,111.17.194.28,M0048,"17.6374,78.7783",0
TXN000030,864.04,2026-07-30 20:06:43,C735656,D65302,214.184.242.109,M0036,"17.7876,78.492",0
TXN000031,622.68,2026-07-30 20:08:00,C335552,D98696,166.107.43.197,M0047,"12.768,78.0329",0
TXN000032,3400.14,2026-07-30 21:21:19,C640490,D26361,3.173.150.154,M0031,"12.6111,77.6638",0
TXN000033,607.82,2026-07-30 21:33:08,C682765,D48469,91.211.49.166,M0014,"19.0273,72.5611",0
TXN000034,299.3,2026-07-30 22:10:08,C831076,D66498,179.130.62.230,M0035,"17.5915,78.0183",0
TXN000035,984.45,2026-07-30 22:28:37,C333238,D13278,108.63.89.168,M0014,"13.5097,79.831",0
TXN000036,179.53,2026-07-30 23:26:49,C303880,D38893,193.79.33.157,M0042,"18.5912,73.7128",0
TXN000037,537.76,2026-07-31 00:05:21,C960394,D80010,112.239.140.45,M0004,"28.4665,77.0242",0
TXN000038,55465.55,2026-07-31 03:28:39,C356736,D41850,204.140.226.117,M0027,"13.199,79.8156",1
TXN000039,1616.06,2026-07-31 03:45:12,C736130,D28131,151.89.105.16,M0045,"18.7494,74.128",0
